dataset,seed,condition,evaluable
Wessels,2,MED24+SSRP1,True
Wessels,2,RCOR1,True
Wessels,2,IKZF1+RCOR1,True
Wessels,2,MED13L+MED16,True
Wessels,2,MED13L+MED22,True
Wessels,2,MED16+MED22,True
Wessels,3,DOT1L+FLI1,True
Wessels,3,DOT1L+IKZF1,True
Wessels,3,DOT1L+KDM1A,True
Wessels,3,DOT1L+RING1,True
Wessels,3,EP300+FLI1,True
Wessels,3,EP300+IKZF1,True
Wessels,3,EP300+KDM1A,True
Wessels,3,EP300+RING1,True
Wessels,3,FLI1+GATA2,True
Wessels,3,FLI1+GFI1,True
Wessels,3,FLI1+GSE1,True
Wessels,3,FLI1+HDAC3,True
Wessels,3,FLI1+INTS1,True
Wessels,3,FLI1+MED24,True
Wessels,3,FLI1+RCOR1,True
Wessels,3,FLI1+SMARCD1,True
Wessels,3,FLI1+SSRP1,True
Wessels,3,GATA2+IKZF1,True
Wessels,3,GATA2+KDM1A,True
Wessels,3,GATA2+RING1,True
Wessels,3,GFI1+KDM1A,True
Wessels,3,GFI1+RING1,True
Wessels,3,GSE1+IKZF1,True
Wessels,3,GSE1+KDM1A,True
Wessels,3,GSE1+RING1,True
Wessels,3,HDAC3+IKZF1,True
Wessels,3,HDAC3+KDM1A,True
Wessels,3,HDAC3+RING1,True
Wessels,3,IKZF1+INTS1,True
Wessels,3,IKZF1+MED24,True
Wessels,3,IKZF1+RCOR1,True
Wessels,3,IKZF1+SMARCD1,True
Wessels,3,INTS1+KDM1A,True
Wessels,3,INTS1+RING1,True
Wessels,3,KDM1A+MED24,True
Wessels,3,KDM1A+RCOR1,True
Wessels,3,KDM1A+SMARCD1,True
Wessels,3,MED24+RING1,True
Wessels,3,RCOR1+RING1,True
Wessels,3,RING1+SMARCD1,True
Wessels,3,SUPT5H+SUPT6H,True
Wessels,3,SUPT16H+SUPT5H,True
Wessels,3,DOT1L+EP300,True
Wessels,3,DOT1L+GSE1,True
Wessels,3,DOT1L+SMARCD1,True
Wessels,3,EP300+GFI1,True
Wessels,3,GATA2+GFI1,True
Wessels,3,GATA2+GSE1,True
Wessels,3,GATA2+HDAC3,True
Wessels,3,GATA2+RCOR1,True
Wessels,3,GFI1+INTS1,True
Wessels,3,GFI1+SMARCD1,True
Wessels,3,HDAC3+INTS1,True
Wessels,3,INTS1+MED24,True
Wessels,3,INTS1+RCOR1,True
Wessels,3,INTS1+SMARCD1,True
Wessels,3,MED16+MED24,True
Wessels,3,MED19+MED24,True
Wessels,3,MED24+RCOR1,True
Wessels,3,ATXN7L3,True
Wessels,3,FLI1,True
Wessels,3,RING1,True
Wessels,3,FLI1+IKZF1,True
Wessels,3,FLI1+KDM1A,True
Wessels,3,FLI1+RING1,True
Wessels,3,IKZF1+KDM1A,True
Wessels,3,KDM1A+RING1,True
Schmidt,1,CBY1+LCP2,True
Schmidt,1,CBY1+PRKD2,True
Schmidt,1,CBY1+TRIM21,True
Schmidt,1,EMP3+JMJD1C,True
Schmidt,1,EMP3+LCP2,True
Schmidt,1,EMP3+MAP4K1,True
Schmidt,1,EMP3+PRKD2,True
Schmidt,1,EMP3+TBX21,True
Schmidt,1,EMP3+TNFRSF1A,True
Schmidt,1,EMP3+TNFRSF1B,True
Schmidt,1,EMP3+VAV1,True
Schmidt,1,JMJD1C+TRAF3IP2,True
Schmidt,1,PRKD2+TRAF3IP2,True
Schmidt,1,TNFRSF1A+TRAF3IP2,True
Schmidt,1,TNFRSF1B+TRAF3IP2,True
Schmidt,1,TNFRSF12A+TRAF3IP2,True
Schmidt,1,TRAF3IP2+TRIM21,True
Schmidt,1,TRAF3IP2+VAV1,True
Schmidt,1,MGST3+TRIM21,True
Schmidt,1,PRKD2+TNFRSF1B,True
Schmidt,1,ABCB10,True
Schmidt,1,CBY1,True
Schmidt,1,EMP3,True
Schmidt,1,EOMES,True
Schmidt,1,FOSL1,True
Schmidt,1,FOXD2,True
Schmidt,1,IKZF3,True
Schmidt,1,INPPL1,True
Schmidt,1,TRAF3IP2,True
Schmidt,1,CBY1+EMP3,True
Schmidt,1,EMP3+TRAF3IP2,True
Schmidt,2,ARHGDIB+TNFRSF1A,True
Schmidt,2,CBY1+EMP3,True
Schmidt,2,EMP3+LCP2,True
Schmidt,2,EMP3+MAP4K1,True
Schmidt,2,EMP3+PRKD2,True
Schmidt,2,EMP3+TBX21,True
Schmidt,2,EMP3+TNFRSF1B,True
Schmidt,2,EMP3+TRAF3IP2,True
Schmidt,2,EMP3+VAV1,True
Schmidt,2,FOXQ1+TNFRSF1A,True
Schmidt,2,JMJD1C+TNFRSF1B,True
Schmidt,2,JMJD1C+TRAF3IP2,True
Schmidt,2,PRKD2+TNFRSF1A,True
Schmidt,2,TNFRSF1A+TRAF3IP2,True
Schmidt,2,PRKD2+TRIM21,True
Schmidt,2,TNFRSF12A+TRAF3IP2,True
Schmidt,2,TRAF3IP2+VAV1,True
Schmidt,2,DEPDC7,True
Schmidt,2,EMP3,True
Schmidt,2,FOSL1,True
Schmidt,2,IKZF3,True
Schmidt,2,JMJD1C,True
Schmidt,2,LTBR,True
Schmidt,2,RELA,True
Schmidt,2,TNFRSF1A,True
Schmidt,2,WT1,True
Schmidt,2,EMP3+JMJD1C,True
Schmidt,2,EMP3+TNFRSF1A,True
Schmidt,3,CBY1+EMP3,True
Schmidt,3,CBY1+LCP2,True
Schmidt,3,EMP3+JMJD1C,True
Schmidt,3,EMP3+MAP4K1,True
Schmidt,3,EMP3+PRKD2,True
Schmidt,3,EMP3+TBX21,True
Schmidt,3,EMP3+TNFRSF1A,True
Schmidt,3,EMP3+TRAF3IP2,True
Schmidt,3,EMP3+VAV1,True
Schmidt,3,JMJD1C+TNFRSF1B,True
Schmidt,3,MGST3+TRIM21,True
Schmidt,3,PRKD2+TNFRSF1B,True
Schmidt,3,TNFRSF1B+TRAF3IP2,True
Schmidt,3,TNFRSF12A+TRAF3IP2,True
Schmidt,3,PRKD2+VAV1,True
Schmidt,3,TNFRSF1A+TRAF3IP2,True
Schmidt,3,TRAF3IP2+TRIM21,True
Schmidt,3,ABCB10,True
Schmidt,3,APOL2,True
Schmidt,3,EMP3,True
Schmidt,3,FOSB,True
Schmidt,3,LCP2,True
Schmidt,3,LHX6,True
Schmidt,3,MGST3,True
Schmidt,3,TNFRSF1B,True
Schmidt,3,TNFRSF12A,True
Schmidt,3,EMP3+LCP2,True
Schmidt,3,EMP3+TNFRSF1B,True
Replogle_exp6,1,AHCYL1+FDPS,True
Replogle_exp6,1,ATM+FDPS,True
Replogle_exp6,1,ATR+FDPS,True
Replogle_exp6,1,ETAA1+FDPS,True
Replogle_exp6,1,ETAA1+TOPBP1,True
Replogle_exp6,1,FDPS+IDI1,True
Replogle_exp6,1,FDPS+LIG4,True
Replogle_exp6,1,FDPS+MVD,True
Replogle_exp6,1,FDPS+NHEJ1,True
Replogle_exp6,1,FDPS+PMVK,True
Replogle_exp6,1,FDPS+PRKDC,True
Replogle_exp6,1,FDPS+RAD1,True
Replogle_exp6,1,FDPS+RAD9A,True
Replogle_exp6,1,FDPS+RAD17,True
Replogle_exp6,1,FDPS+RRM1,True
Replogle_exp6,1,FDPS+RRM2B,True
Replogle_exp6,1,FDPS+SQLE,True
Replogle_exp6,1,FDPS+SREBF1,True
Replogle_exp6,1,FDPS+SREBF2,True
Replogle_exp6,1,FDPS+XRCC5,True
Replogle_exp6,1,FDPS+XRCC6,True
Replogle_exp6,1,HMGCR+SREBF1,True
Replogle_exp6,1,HMGCR+SREBF2,True
Replogle_exp6,1,HUS1+IDI1,True
Replogle_exp6,1,HUS1+MVD,True
Replogle_exp6,1,HUS1+PMVK,True
Replogle_exp6,1,HUS1+RRM1,True
Replogle_exp6,1,HUS1+SQLE,True
Replogle_exp6,1,HUS1+SREBF1,True
Replogle_exp6,1,HUS1+SREBF2,True
Replogle_exp6,1,CHEK1,True
Replogle_exp6,1,FDPS,True
Replogle_exp6,1,HMGCR,True
Replogle_exp6,1,HSPE1,True
Replogle_exp6,1,HUS1,True
Replogle_exp6,1,MTOR,True
Replogle_exp6,1,TOPBP1,True
Replogle_exp6,1,CHEK1+FDPS,True
Replogle_exp6,1,FDPS+HMGCR,True
Replogle_exp6,1,FDPS+HUS1,True
Replogle_exp6,1,FDPS+TOPBP1,True
Replogle_exp6,1,HMGCR+HUS1,True
Replogle_exp6,2,AHCYL1+FDPS,True
Replogle_exp6,2,ATM+FDPS,True
Replogle_exp6,2,ATR+FDPS,True
Replogle_exp6,2,CHEK1+FDPS,True
Replogle_exp6,2,ETAA1+FDPS,True
Replogle_exp6,2,FDPS+HMGCR,True
Replogle_exp6,2,FDPS+HUS1,True
Replogle_exp6,2,FDPS+IDI1,True
Replogle_exp6,2,FDPS+LIG4,True
Replogle_exp6,2,FDPS+MVD,True
Replogle_exp6,2,FDPS+NHEJ1,True
Replogle_exp6,2,FDPS+PRKDC,True
Replogle_exp6,2,FDPS+RAD1,True
Replogle_exp6,2,FDPS+RAD9A,True
Replogle_exp6,2,FDPS+RRM1,True
Replogle_exp6,2,FDPS+RRM2B,True
Replogle_exp6,2,FDPS+SQLE,True
Replogle_exp6,2,FDPS+SREBF1,True
Replogle_exp6,2,FDPS+TOPBP1,True
Replogle_exp6,2,FDPS+XRCC6,True
Replogle_exp6,2,HMGCR+SREBF2,True
Replogle_exp6,2,HUS1+PMVK,True
Replogle_exp6,2,HUS1+SREBF2,True
Replogle_exp6,2,ETAA1+TOPBP1,True
Replogle_exp6,2,HUS1+RRM1,True
Replogle_exp6,2,FDPS,True
Replogle_exp6,2,HSPE1,True
Replogle_exp6,2,MTOR,True
Replogle_exp6,2,PMVK,True
Replogle_exp6,2,RAD17,True
Replogle_exp6,2,SREBF2,True
Replogle_exp6,2,XRCC5,True
Replogle_exp6,2,FDPS+PMVK,True
Replogle_exp6,2,FDPS+RAD17,True
Replogle_exp6,2,FDPS+SREBF2,True
Replogle_exp6,2,FDPS+XRCC5,True
Replogle_exp6,3,ATM+FDPS,True
Replogle_exp6,3,CHEK1+FDPS,True
Replogle_exp6,3,ETAA1+FDPS,True
Replogle_exp6,3,FDPS+HMGCR,True
Replogle_exp6,3,FDPS+HUS1,True
Replogle_exp6,3,FDPS+IDI1,True
Replogle_exp6,3,FDPS+LIG4,True
Replogle_exp6,3,FDPS+MVD,True
Replogle_exp6,3,FDPS+NHEJ1,True
Replogle_exp6,3,FDPS+PMVK,True
Replogle_exp6,3,FDPS+PRKDC,True
Replogle_exp6,3,FDPS+RAD9A,True
Replogle_exp6,3,FDPS+RAD17,True
Replogle_exp6,3,FDPS+RRM1,True
Replogle_exp6,3,FDPS+RRM2B,True
Replogle_exp6,3,FDPS+SQLE,True
Replogle_exp6,3,FDPS+SREBF1,True
Replogle_exp6,3,FDPS+SREBF2,True
Replogle_exp6,3,FDPS+TOPBP1,True
Replogle_exp6,3,FDPS+XRCC5,True
Replogle_exp6,3,HMGCR+SREBF2,True
Replogle_exp6,3,HUS1+SQLE,True
Replogle_exp6,3,HUS1+SREBF2,True
Replogle_exp6,3,AHCYL1,True
Replogle_exp6,3,ATR,True
Replogle_exp6,3,FDPS,True
Replogle_exp6,3,POLR1D,True
Replogle_exp6,3,RAD1,True
Replogle_exp6,3,RPL15,True
Replogle_exp6,3,XRCC6,True
Replogle_exp6,3,AHCYL1+FDPS,True
Replogle_exp6,3,ATR+FDPS,True
Replogle_exp6,3,FDPS+RAD1,True
Replogle_exp6,3,FDPS+XRCC6,True
